awaiting_async_process,vars,id,creation_time,failed,failed_reason,time_of_death,type,max_size,full,role,trial_maker_id,module_id,target_n_trials,participant_group,participant_id,id_within_participant,n_completed_trials,chain_type,head_id,trials_per_node,definition,block,ready_to_spawn,n_viable_trials_at_head,head_is_awaiting_async_process,class,object_type,n_all_nodes,n_alive_nodes,n_failed_nodes,n_all_trials,n_alive_trials,n_failed_trials
False,{},1,2023-02-16 16:47:46,False,,,StaticNetwork,1,False,default,headphone_test,headphone_test,1000000,default,,,108,across,1,1000000,{},default,False,108,False,StaticNetwork,Network,1,1,0,114,108,6
False,{},2,2023-02-16 16:47:46,False,,,StaticNetwork,1,False,default,headphone_test,headphone_test,1000000,default,,,108,across,2,1000000,{},default,False,108,False,StaticNetwork,Network,1,1,0,114,108,6
False,{},3,2023-02-16 16:47:46,False,,,StaticNetwork,1,False,default,headphone_test,headphone_test,1000000,default,,,109,across,3,1000000,{},default,False,109,False,StaticNetwork,Network,1,1,0,116,109,7
False,{},4,2023-02-16 16:47:46,False,,,StaticNetwork,1,False,default,headphone_test,headphone_test,1000000,default,,,108,across,4,1000000,{},default,False,108,False,StaticNetwork,Network,1,1,0,115,108,7
False,{},5,2023-02-16 16:47:46,False,,,StaticNetwork,1,False,default,headphone_test,headphone_test,1000000,default,,,108,across,5,1000000,{},default,False,108,False,StaticNetwork,Network,1,1,0,116,108,8
False,{},6,2023-02-16 16:47:46,False,,,StaticNetwork,1,False,default,headphone_test,headphone_test,1000000,default,,,108,across,6,1000000,{},default,False,108,False,StaticNetwork,Network,1,1,0,115,108,7
False,{},7,2023-02-16 16:47:46,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,7,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,117,111,6
False,{},8,2023-02-16 16:47:46,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,8,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,119,113,6
False,{},9,2023-02-16 16:47:46,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,9,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,126,119,7
False,{},10,2023-02-16 16:47:46,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,10,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,121,113,8
False,{},11,2023-02-16 16:47:46,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,11,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,122,116,6
False,{},12,2023-02-16 16:47:46,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,12,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,120,112,8
False,{},13,2023-02-16 16:47:47,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,13,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,123,117,6
False,{},14,2023-02-16 16:47:47,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,14,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,122,116,6
False,{},15,2023-02-16 16:47:47,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,15,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,121,114,7
False,{},16,2023-02-16 16:47:47,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,16,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,121,114,7
False,{},17,2023-02-16 16:47:47,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,17,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,121,115,6
False,{},18,2023-02-16 16:47:47,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,18,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,124,118,6
False,{},19,2023-02-16 16:47:47,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,19,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,125,119,6
False,{},20,2023-02-16 16:47:47,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,20,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,122,115,7
False,{},21,2023-02-16 16:47:47,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,21,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,116,110,6
False,{},22,2023-02-16 16:47:47,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,22,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,120,114,6
False,{},23,2023-02-16 16:47:47,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,23,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,121,115,6
False,{},24,2023-02-16 16:47:47,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,24,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,123,115,8
False,{},25,2023-02-16 16:47:47,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,25,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,119,113,6
False,{},26,2023-02-16 16:47:47,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,26,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,119,113,6
False,{},27,2023-02-16 16:47:47,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,27,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,120,114,6
False,{},28,2023-02-16 16:47:48,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,28,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,124,117,7
False,{},29,2023-02-16 16:47:48,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,29,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,124,116,8
False,{},30,2023-02-16 16:47:48,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,30,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,120,113,7
False,{},31,2023-02-16 16:47:48,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,31,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,121,114,7
False,{},32,2023-02-16 16:47:48,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,32,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,121,115,6
False,{},33,2023-02-16 16:47:48,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,33,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,121,114,7
False,{},34,2023-02-16 16:47:48,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,34,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,119,113,6
False,{},35,2023-02-16 16:47:48,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,35,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,122,116,6
False,{},36,2023-02-16 16:47:48,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,36,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,126,120,6
False,{},37,2023-02-16 16:47:48,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,37,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,125,118,7
False,{},38,2023-02-16 16:47:48,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,38,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,122,115,7
False,{},39,2023-02-16 16:47:48,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,39,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,124,118,6
False,{},40,2023-02-16 16:47:48,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,40,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,122,116,6
False,{},41,2023-02-16 16:47:49,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,41,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,122,116,6
False,{},42,2023-02-16 16:47:49,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,42,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,124,118,6
False,{},43,2023-02-16 16:47:49,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,43,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,121,115,6
False,{},44,2023-02-16 16:47:49,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,44,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,124,117,7
False,{},45,2023-02-16 16:47:49,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,45,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,128,122,6
False,{},46,2023-02-16 16:47:49,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,46,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,125,119,6
False,{},47,2023-02-16 16:47:49,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,47,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,118,111,7
False,{},48,2023-02-16 16:47:49,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,48,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,123,116,7
False,{},49,2023-02-16 16:47:49,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,49,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,124,118,6
False,{},50,2023-02-16 16:47:49,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,50,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,124,118,6
False,{},51,2023-02-16 16:47:49,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,51,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,124,118,6
False,{},52,2023-02-16 16:47:49,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,52,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,122,115,7
False,{},53,2023-02-16 16:47:49,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,53,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,122,115,7
False,{},54,2023-02-16 16:47:49,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,54,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,121,115,6
False,{},55,2023-02-16 16:47:49,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,55,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,121,114,7
False,{},56,2023-02-16 16:47:49,False,,,StaticNetwork,1,False,default,consonance_main_experiment,consonance_main_experiment,1000000,default,,,107,across,56,1000000,{},default,False,107,False,StaticNetwork,Network,1,1,0,126,120,6
