Partial,FrequencyRatio,Amplitude,PartialLabel
0.5,0.49698128024669413,1.3982078517550474,Hum
1,1,1,Prime
1.2,1.1939232572861356,1.2854002083113991,Tierce
1.5,1.500000000136588,0.1746305305156148,Quint
2,1.9924535915811332,0.34789159652905266,Nominal
2.5,NA,0,Deciem
2.61,2.5881088791156346,0.2676262475615424,Undeciem
3,2.985605955084007,0.34659564202230375,Duodeciem
3.33,3.2961022530588933,0.23211996633622306,III-4
4,4.129369772373063,0.23228084825197176,Upper Octave
5.33,5.381356415546836,0.18545652000275253,Upper Fourth
6.67,6.7205882356677265,0.09099880416551999,Upper Sixth
